President	Term start	Term end	Start-of-term item type	Start headline / topic line (verbatim)	Start newspaper title	Start date (issue)	Start page	Start link (URL)	End-of-term item type	End headline / topic line (verbatim)	End newspaper title	End date (issue)	End page	End link (URL)	Archive / collection	Rights note (plain-English)	Notes / context	Suggested search keywords
George Washington	1789-04-30	1797-03-04	Newspaper issue (LOC/NDNP)	"New-York, May 2"	Gazette of the United-States (New-York [N.Y.])	1789-05-02	(issue spans 4 pages; see viewer)	https://www.loc.gov/item/sn83030483/1789-05-02/ed-1/	Manuscript (Library of Congress — George Washington Papers)	Thomas Paine to George Washington	Thomas Paine to George Washington	1796-07-30	1	https://founders.archives.gov/documents/Washington/05-20-02-0329 	"Library of Congress — George Washington Papers (Series 2, Letterbooks)"	"Public-domain manuscript scan from the Library of Congress. For student use, quote only what you need and cite the LOC item."	"Start item: early presidential-period reporting (ceremonial/supportive tone). End item: Washington’s 1796 Farewell Address (end-of-term), a cautionary text warning about factions and foreign entanglements."	Gazette of the United-States May 2 1789 Washington; Washington Farewell Address September 17 1796 LOC mgw2.024
John Adams	1797-03-04	1801-03-04	Newspaper page (OCR text view)	(Administration coverage) references to President Adams (topic line)	"Gazette of the United States, & Philadelphia daily advertiser. (Philadelphia [Pa.])"	1797-09-29	1	https://www.loc.gov/resource/sn83025881/1797-09-29/ed-1/?sp=1&st=text	Book scans	"The design of this book is to exhibit the multiplicated corruptions of the Federal Government, and more specifically the misconduct of the President, Mr. Adams"	The Prospect Before Us	1801-04-29	8	https://archive.org/details/prospectbeforeus00call/page/n9/mode/2up	Internet Archive	Public domain (U.S. newspaper from 1801; available via the Library of Congress Chronicling America archive).	"Start item: early coverage from Adams’s first year (1797). End item: mid-term book criticizing corruption is Adam's office, which led to the arrest of the journalist"	Gazette of the United States Philadelphia 1797 President Adams; National Intelligencer April 29 1801 appointed by President Adams February March 1801
Thomas Jefferson	1801-03-04	1809-03-04	Editorial / commentary (newspaper)	"The popularity of Mr. Jefferson’s administration, his inaugural speech conducted masterly."	The national intelligencer and Washington advertiser. [volume]	1801-04-15	3	https://chroniclingamerica.loc.gov/lccn/sn83045242/1801-04-15/ed-1/seq-3/	Newspaper page (LOC scan — OCR text view)	Jefferson's destructive policy	"Portland gazette, and Maine advertiser"	1808-09-05	1	https://www.loc.gov/resource/sn83016082/1808-09-05/ed-1/?st=text 	Library of Congress — Chronicling America	Public domain (U.S. newspaper from 1808; available via the Library of Congress Chronicling America archive).	Start item: early-term commentary praising Jefferson’s popularity and calling his inaugural speech “masterly.” End item: 1808 newspaper criticism tying the embargo to “Jefferson’s destructive policy” (late-term backlash).	National Intelligencer April 15 1801 popularity of Mr. Jefferson masterly inaugural; Portland gazette 1808-09-05 Jefferson destructive policy embargo
James Madison	1809-03-04	1817-03-04	Newspaper page (Georgia Historic Newspapers OCR excerpt)	Mr. Madison’s Inaugural SPEECH.	Mirror of the times. (Augusta [Ga.])	1809-03-20	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn86053002/1809-03-20/ed-1/seq-2/ocr/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	NO PEACE WITH JAMES MADISON.	The Republican ; and Savannah evening ledger.	1814-07-12	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn82014388/1814-07-12/ed-1/seq-2/ocr/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	"Start item: publication of “Mr. Madison’s Inaugural SPEECH” (1809). End item: wartime-era polemic titled “NO PEACE WITH JAMES MADISON” (1814), reflecting sharp criticism during the War of 1812."	"Mirror of the times 1809-03-20 Madison inaugural speech; Republican and Savannah evening ledger 1814-07-12 ""NO PEACE WITH JAMES MADISON"""
James Monroe	1817-03-04	1825-03-04	Newspaper page (Georgia Historic Newspapers OCR excerpt)	The President’s Visit.	Savannah daily republican.	1819-05-04	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn82015779/1819-05-04/ed-1/seq-2/ocr/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	Mr. Monroe is charg ed with faults of which he was by no means the sole author.	Georgia messenger.	1824-02-11	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn85034053/1824-02-11/ed-1/seq-2/ocr/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	"Start item: coverage of President Monroe’s southern tour/visit (1819), generally respectful and promotional. End item: 1824 commentary acknowledging alleged faults of Monroe’s administration as the 1824 election politics heats up."	James Monroe inauguration newspaper; James Monroe criticism end of term newspaper; site:loc.gov chroniclingamerica
John Quincy Adams	1825-03-04	1829-03-04	Political commentary (references his Inaugural Address)	"“President Adams, in his Inaugural Address expressed the most liberal sentiments on the subject of parties…”"	Rhode Island American (Providence [R.I.])	1825-07-08	1	https://www.loc.gov/resource/sn83021383/1825-07-08/ed-1/?st=text	Campaign/partisan critique (accusation)	“…allude to the charge of a corrupt bargain between Mr. Adams and Mr. Clay…”	"Winchester Virginia Republican (Winchester, Va.)"	1828-03-21	1	https://www.loc.gov/resource/sn86071897/1828-03-21/ed-1/?st=text	Library of Congress — Chronicling America	Public domain (US newspaper published >95 years ago; LoC notes no known copyright restrictions).	"Early in his presidency, a Rhode Island paper referenced Adams’s inaugural address in approving terms (“most liberal sentiments” on parties). By the 1828 election season, newspapers were publicly revisiting/attacking Adams via the “corrupt bargain” charge involving Henry Clay."	John Quincy Adams inauguration newspaper; John Quincy Adams criticism end of term newspaper; site:loc.gov chroniclingamerica
Andrew Jackson	1829-03-04	1837-03-04	Newspaper page (OCR/scan)	President Jackson’s Message	"Georgia Journal (Milledgeville, Ga.)"	1830-03-10	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn82014251/1830-03-10/ed-1/seq-2/	Newspaper page (OCR/scan)	Reign of King Andrew ... (critical commentary)	"Republican and Savannah Evening Ledger (Savannah, Ga.)"	1837-01-23	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn87062330/1837-01-23/ed-1/seq-2/	Georgia Historic Newspapers (Digital Library of Georgia) – public-access newspaper scans	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	Filled from Georgia Historic Newspapers because a LOC/Chronicling America inauguration-era Jackson newspaper page wasn’t located in this pass; both items are newspapers and within/at the end of his presidency.	Andrew Jackson inauguration newspaper; Andrew Jackson criticism end of term newspaper; site:loc.gov chroniclingamerica
Martin Van Buren	1837-03-04	1841-03-04	Newspaper page (OCR text view)	Mr. Van Buren's Inaugural Address	The Herald (New York [N.Y.])	1837-02-22	1	https://www.loc.gov/resource/sn83030311/1837-02-22/ed-1/?sp=1&st=text	Newspaper page (OCR text view)	...ye who then so loudly denounced Mr. Van Buren…	"The Guard (Holly Springs, Miss.)"	1842-11-01	1	https://www.loc.gov/resource/sn83016785/1842-11-01/ed-1/?st=text	Library of Congress – Chronicling America / NDNP	"The Library of Congress believes that the newspapers in Chronicling America are in the public domain or have no known copyright restrictions. Newspapers published in the United States more than 95 years ago are in the public domain in their entirety. Any newspapers in Chronicling America that were published less than 95 years ago are also believed to be in the public domain, but may contain some copyrighted third party materials."	Start item prints Van Buren’s inaugural address as he is about to take office; end item is a post-term political piece referencing Whig denunciations of Van Buren.	Martin Van Buren inauguration newspaper; Martin Van Buren criticism end of term newspaper; site:loc.gov chroniclingamerica
William Henry Harrison	1841-03-04	1841-04-04	Editorial / analysis	ANALYSIS OF THE INAUGURAL	"The Madisonian (Washington City, D.C.)"	1841-03-20	3	https://chroniclingamerica.loc.gov/lccn/sn82015015/1841-03-20/ed-1/seq-3/	Political commentary (later retrospective)	"""Granny Harrison was never within nine miles of a battle."" (quoted as a 'Locofoco' jab from 1840, reprinted 1848)"	"Jeffersonian Republican (Stroudsburg, Pennsylvania)"	1848-08-10	3	https://chroniclingamerica.loc.gov/lccn/sn86053954/1848-08-10/ed-1/seq-3/	Library of Congress — Chronicling America	19th?century newspaper pages (pre?1929) digitized by the Library of Congress; generally public-domain in practice for reuse with attribution (still cite/verify for your project).	"Harrison served only one month (inaugurated Mar 4, 1841; died Apr 4, 1841). Early coverage praised his inaugural address; later political writing recalled that opponents mocked him as “Granny Harrison,” implying disrespect/derision."	"""ANALYSIS OF THE INAUGURAL"" Harrison 1841 Madisonian; ""Granny Harrison"" Locofoco paper 1840 1848 Jeffersonian Republican"
John Tyler	1841-04-04	1845-03-04	Advertisement / notice (pro?Tyler pamphlet/book for sale)	Observations on the Political character and services of President Tyler and his Cabinet	Daily national intelligencer (Washington City [D.C.])	1841-10-04	1 (see PDF page)	https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_buford_ver01/data/sn83026172/0021167796A/1841100401/0059.pdf	Political commentary / criticism	… came in by special arrangement with 'his Accidency' … old … uttering protestations … against them	New-York daily tribune (New York [N.Y.])	1844-10-12	1 (see PDF page)	https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_gritty_ver01/data/sn83030213/00206530200/1844101201/0665.pdf	Library of Congress – Chronicling America / NDNP	LOC states Chronicling America newspapers are believed to be public domain or have no known copyright restrictions; still assess for 3rd?party content if <95 years old.	"Early in his presidency, the paper advertises a newly published work praising Tyler’s “political character and services,” signaling supportive framing in print. By late 1844, the Tribune mocks him as “his Accidency” and describes loud protests against his patronage appointments—evidence of broad hostility near the end of his term."	"John Tyler ""his Accidency"" protestations 1844; President Tyler political character and services 1841"
James K. Polk	1845-03-04	1849-03-04	Newspaper page (LOC scan — OCR text view)	The inaugural message of President Polk will be very moderate.	New York herald. (New York [N.Y.])	1845-03-05	2	https://www.loc.gov/resource/sn83030311/1845-03-05/ed-1/?dl=page&q=inaugural%20message%20President%20Polk&sp=2&st=text	Newspaper page (Georgia Historic Newspapers OCR excerpt)	Another victim ol Mr. Polk’s war!	Savannah daily republican.	1848-08-04	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn82015878/1848-08-04/ed-1/seq-2/ocr/	Library of Congress — Chronicling America; Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	"Start source is a LOC scan; end source is an open-access Georgia Historic Newspapers scan. For student fair use: quote short excerpts, cite the archive, and follow repository terms."	"Start item: inauguration-week coverage presenting Polk’s message as ""very moderate"" (1845). End item: Mexican–American War backlash framing casualties as ""Mr. Polk’s war"" (1848)."	James K. Polk inauguration newspaper; James K. Polk criticism end of term newspaper; site:loc.gov chroniclingamerica
Zachary Taylor	1849-03-04	1850-07-09	Congressional proceedings / national news item (OCR text view)	a joint resolution of thanks to Major General Zachary Taylor was laid upon the table.	"The North-Carolinian. (Fayetteville, N.C.)"	1849-03-03	3	https://newspapers.digitalnc.org/lccn/sn84020750/1849-03-03/ed-1/seq-3/	Political commentary / editorial (reprinted Richmond Examiner; OCR via PDF)	Taylor tlie Soldier Taylor the Politician.	"Wilmington journal. (Wilmington, N.C.)"	1850-08-02	4	https://newspapers.digitalnc.org/lccn/sn84026536/1850-08-02/ed-1/seq-4/	North Carolina Newspapers (DigitalNC / NC Digital Heritage Center; Open ONI)	Public domain. DigitalNC marks the 1850 Wilmington Journal page as 'NoC?US' (no U.S. copyright). 1849/1850 newspapers are well past copyright term; still cite the archive page and avoid copying full page images when publishing.	Start: item in congressional proceedings noting a joint resolution thanking Major Gen. Zachary Taylor (days before inauguration). End: post?death partisan commentary contrasts 'Taylor the Soldier' vs 'Taylor the Politician' and argues his administration began with broad popularity but ended in harsh criticism.	Zachary Taylor joint resolution of thanks 1849; Taylor the Soldier Taylor the Politician 1850 Wilmington Journal Richmond Examiner
Millard Fillmore	1850-07-09	1853-03-04	Newspaper page (OCR text view) — editorial/praise	"“Fillmore as the possessor of talents, integrity and patriotism, we honor him …” [OCR excerpt]"	"The daily crescent ([New Orleans, La.])"	1851-07-01	p. 2	https://www.loc.gov/resource/sn82015378/1851-07-01/ed-1/?sp=2&st=text	Newspaper page (OCR text view) — retrospective/campaign critique (?10 yrs post-term)	“Millard Fillmore … is at heart a traitor …” [OCR excerpt]	"The Winchester weekly appeal (Winchester, Va.)"	1856-10-24	p. 1	https://www.loc.gov/resource/sn97065090/1856-10-24/ed-1/?st=text	Library of Congress – Chronicling America (NDNP)	LoC notes NDNP newspapers are believed public domain/no known restrictions; U.S. newspapers >95 years old are public domain in entirety.	Early: favorable assessment of Fillmore’s talents/integrity. Later: 1856 campaign-era criticism portrays Fillmore as disloyal/‘traitor’ (American/Know-Nothing politics).	"Fillmore possessor talents integrity patriotism; ""Millard Fillmore"" traitor; Fillmore 1856 American Party"
Franklin Pierce	1853-03-04	1857-03-04	Election victory coverage (newspaper report/editorial)	PIERCE LEADS THE COLUMN! DEMOCRACY TRIUMPHANT!!	"The mountain sentinel. (Ebensburg, Pennsylvania)"	1852-11-04	2	https://chroniclingamerica.loc.gov/lccn/sn86071377/1852-11-04/ed-1/seq-2/ocr/	Political call / anti-administration item (newspaper text)	All who are opposed to the slavery extension administration of Frank Pierce;	"The Richmond palladium. (Richmond, Indiana)"	1856-04-24	2	https://chroniclingamerica.loc.gov/lccn/sn86058250/1856-04-24/ed-1/seq-2/ocr/	Library of Congress – Chronicling America (NDNP)	LOC states Chronicling America newspapers are believed public domain or no known restrictions; U.S. newspapers published >95 years ago are public domain.	"Start item is celebratory coverage of Pierce/King winning the 1852 election. End item shows organized opposition to Pierce late in his term, labeling his presidency a “slavery extension administration.”"	"""President Pierce"" inaugural address March 1853 newspaper; ""Pierce administration"" Kansas 1856 1857"
