Record ID	President	Administration/Term	Date	Year	Document Title	Document Type	Audience	Historical Context/Event	Group Mentioned (verbatim)	Group Category	Valence	Rationale (why positive/negative/etc.)	Excerpt / Quote	Topic Tags	Source URL	Source (collection/site)	Notes
REC-0001	George Washington	1789–1797	1796-09-19	1796	Farewell Address	Address	The People of the United States	End of Washington’s presidency; urging national unity over sectional/local identities.	"The name of American, which belongs to you, in your national capacity"	National identity / Americans (citizens)	Positive	Presents shared national identity (“American”) as a source of pride and unity above local divisions.	"The name of American, which belongs to you, in your national capacity, must always exalt the just pride of patriotism more than any appellation derived from local discriminations."	unity; national identity; patriotism	https://www.senate.gov/artandhistory/history/resources/pdf/Washingtons_Farewell_Address.pdf	U.S. Senate (Historical Resources)	Use for ‘positive’ group framing: Americans as one national community.
REC-0002	George Washington	1789–1797	1794-11-19	1794	Sixth Annual Address to Congress	Annual message to Congress	U.S. Congress	Whiskey Rebellion; opposition to federal excise law and enforcement in western Pennsylvania.	certain self-created societies	Political associations / domestic dissent	Negative	"Strongly condemns the group as demagogic and disorderly, blaming them for deliberate obstruction of federal court orders."	"From a belief that by a more formal concert their operation might be defeated, certain self-created societies assumed the tone of condemnation."	domestic unrest; whiskey rebellion; excise tax; political societies	https://www.presidency.ucsb.edu/documents/sixth-annual-address-congress	The American Presidency Project (UCSB)	Use for ‘negative’ group framing: organized political societies cast as obstructive/condemnatory.
REC-0003	John Adams	1797–1801	1797-05-16	1797	Special Session Message to Congress (Relations with France / XYZ Affair)	Message to Congress	U.S. Congress	Diplomatic crisis with France; requesting preparations while appealing to national unity.	my fellow citizens	Americans (citizens) / civic virtue	Positive	Explicitly praises Americans’ ‘virtue and patriotism’ as the foundation for national support.	"To enable me to maintain this declaration I rely, under God, with entire confidence on the firm and enlightened support of the national legislature and upon the virtue and patriotism of my fellow citizens."	patriotism; civic virtue; unity; foreign affairs	https://millercenter.org/the-presidency/presidential-speeches/may-16-1797-special-session-message-congress-xyz-affair	Miller Center (UVA)	Good ‘positive group’ example tied to civic virtue/patriotism.
REC-0004	John Adams	1797–1801	1799-03-12	1799	"Proclamation 9—Law and Order in Northampton, Montgomery, and Bucks Counties (PA)"	Proclamation	General public / federal & state officers	Tax resistance and unrest in eastern Pennsylvania (Fries’s Rebellion context).	certain persons in the county of Northampton	Domestic insurgents / tax resisters	Negative	Labels the group’s actions as illegal/treasonable and frames them as armed resistance to lawful authority.	"certain persons in the county of Northampton aforesaid have been hardy enough to perpetrate certain acts which I am advised amount to treason, being overt acts of levying war against the United States"	law and order; rebellion; taxation; domestic unrest	https://www.presidency.ucsb.edu/documents/proclamation-9-law-and-order-the-counties-northampton-montgomery-and-bucks-the-state	The American Presidency Project (UCSB)	Clear negative framing of a defined group inside the U.S. as ‘treason’ / armed resistance.
REC-0005	Thomas Jefferson	1801–1809	1801-03-04	1801	First Inaugural Address	Inaugural address	The American people	Party turnover after the 1800 election; call for reconciliation between political factions.	Republicans; Federalists	Political factions / Americans (party identity)	Positive	Frames rival factions as ‘brethren’ and promotes national unity across partisan labels.	"We have called by different names brethren of the same principle. We are all Republicans, we are all Federalists."	unity; partisanship; reconciliation; republicanism	https://millercenter.org/issues-policy/governance/first-words-thomas-jefferson-march-4-1801	Miller Center (UVA)	Positive group framing: opposing parties treated as part of the same national community.
REC-0006	Thomas Jefferson	1801–1809	1807-01-22	1807	Special Message to Congress on the Burr Conspiracy	Message to Congress	U.S. Congress	Aaron Burr conspiracy; alleged attempt to detach western territory and conduct an unauthorized military expedition.	an illegal combination of private individuals	Domestic conspirators / unlawful expedition organizers	Negative	Describes the group as an ‘illegal combination’ threatening the Union’s peace and safety; emphasizes suppression and prosecution.	information received touching an illegal combination of private individuals against the peace and safety of the Union	domestic unrest; conspiracy; law enforcement; national security	https://millercenter.org/the-presidency/presidential-speeches/january-22-1807-special-message-congress-burr-conspiracy	Miller Center (UVA)	Negative group framing: Americans involved in unlawful combinations cast as threats to the Union.
REC-0007	James Madison	1809–1817	1812-11-04	1812	Fourth Annual Message	Annual message to Congress	U.S. Congress	War of 1812; reporting on the war’s early campaigns and national defense.	of the militia of the State of New York	Military / militia / citizen-soldiers	Positive	"Praises U.S. troops’ zeal and bravery, highlighting their ‘ardor’ and ‘distinguished gallantry.’"	"the ardor of the troops, who executed it with distinguished gallantry"	War of 1812; militia; gallantry; military service	https://www.presidency.ucsb.edu/documents/fourth-annual-message-0	The American Presidency Project (UCSB)	Positive group framing: militia/troops portrayed as courageous and zealous.
REC-0008	James Madison	1809–1817	1812-11-04	1812	Fourth Annual Message	Annual message to Congress	U.S. Congress	War of 1812; federal request for militia detachments for coastal defense.	the governors of Maine and Connecticut	State officials / intergovernmental conflict	Negative	"Criticizes governors for refusing to supply militia, calling their constitutional interpretation ‘novel and unfortunate.’"	the refusal of the governors of Maine and Connecticut	War of 1812; militia; federalism; constitutional dispute	https://www.presidency.ucsb.edu/documents/fourth-annual-message-0	The American Presidency Project (UCSB)	Negative group framing: state executives portrayed as obstructing national defense measures.
REC-0009	James Monroe	1817–1825	1823-12-02	1823	Seventh Annual Message (Monroe Doctrine)	Annual message to Congress	U.S. Congress	Monroe Doctrine era; U.S. stance toward European intervention and Western Hemisphere affairs.	The citizens of the United States	Americans (citizens) / national character	Positive	"Attributes friendly humanitarian sentiments to U.S. citizens, portraying them as supportive of liberty and happiness abroad."	The citizens of the United States cherish sentiments the most friendly in favor of the liberty and happiness of their fellow men on that side of the Atlantic.	Monroe Doctrine; foreign policy; national character; liberty	https://www.presidency.ucsb.edu/documents/seventh-annual-message-1	The American Presidency Project (UCSB)	Positive group framing: U.S. citizens described as friendly to liberty/happiness of others.
REC-0010	James Monroe	1817–1825	1824-05-21	1824	Special Message to the Senate on Suppression of the Slave Trade (Piracy Convention)	Special message	U.S. Senate	Debate over treaty/convention with Great Britain aimed at suppressing the African slave trade by treating it as piracy.	all such of our citizens as might be found engaged in that trade	Americans engaged in illegal activity (slave trade)	Negative	Frames the targeted group as criminal—‘p iratical’—and notes they are subject to severe punishment under U.S. law.	"was made piratical, and all such of our citizens as might be found engaged in that trade were subjected"	slave trade; piracy; law and punishment; treaty	https://www.presidency.ucsb.edu/documents/special-message-218	The American Presidency Project (UCSB)	Negative group framing: ‘our citizens’ engaged in slave trade described as pirates subject to capital punishment.
